identifier;type;ra [°];dec [°];redshift
5BZBJ0105+3928;BL Lac;16,28875;39,47092;0,440
3HSPJ010528.1-171222;BL Lac;16,36717;-17,20620;0,147
3HSPJ010547.2+393922;BL Lac;16,44662;39,65614;0,450
5BZUJ0106+3402;;16,50121;34,03416;0,579
5BZGJ0106+2539;;16,54571;25,65847;0,199
5BZQJ0106-0155;FSRQ;16,59579;-1,92733;2,194
5BZQJ0106-2718;FSRQ;16,60867;-27,30328;2,486
5BZQJ0106-1034;FSRQ;16,68396;-10,56953;0,469
5BZQJ0106-4034;FSRQ;16,68796;-40,57222;0,584
GALEXASC J010704.23-;;16,73195;-48,52481;
NVWJ0107.1+2907;;16,78810;29,12070;
3FGL J0107.0-1208;;16,79912;-12,18993;
4FGL J0107.6+4950;;16,84209;49,79670;
4FGL J0107.4+0334;;16,86905;3,56350;
5BZQJ0107+2611;FSRQ;16,94950;26,18572;0,522
5BZQJ0108-0037;FSRQ;17,11183;-0,62339;1,374
5BZQJ0108+0135;FSRQ;17,16154;1,58342;2,099
5BZBJ0109+1816;BL Lac;17,28408;18,26875;
GB6 J0109+2400;;17,31112;24,00958;
5BZQJ0109+6133;FSRQ;17,44308;61,55847;0,783
3HSPJ010956.6-402051;BL Lac;17,48571;-40,34747;0,313
5BZGJ0110+4149;;17,51996;41,83081;0,096
3HSPJ011009.7+042420;BL Lac;17,54054;4,40567;0,393
4FGL J0110.3-0431;;17,54335;-4,59303;
5BZBJ0110-0047;BL Lac;17,55275;-0,79633;0,548
5BZUJ0110+6805;;17,55362;68,09478;
5BZBJ0110-0415;BL Lac;17,62875;-4,25861;
5BZQJ0110-1648;FSRQ;17,64796;-16,80770;0,780
5BZBJ0110-1255;BL Lac;17,70825;-12,91764;0,230
5BZQJ0110-0741;FSRQ;17,70842;-7,69475;1,779
GB6 J0110+4345;;17,75225;43,76100;
NVWJ0111.7+3441;;17,85360;34,69850;
5BZBJ0111+0536;;17,87575;5,60758;0,346
NVSS J011130-254531;;17,87809;-25,75868;
5BZUJ0111+3906;;17,90546;39,10781;0,668
5BZQJ0111-1317;FSRQ;17,98692;-13,28364;2,420
5BZBJ0112+2244;BL Lac;18,02425;22,74411;0,265
5BZQJ0112+2020;FSRQ;18,04246;20,33939;0,746
5BZQJ0112+3522;FSRQ;18,05392;35,37203;0,450
5BZQJ0112+3818;FSRQ;18,07521;38,31581;0,333
5BZQJ0112-6634;FSRQ;18,07879;-66,57922;1,189
3HSPJ011231.4-750618;BL Lac;18,13083;-75,10495;0,300
5BZBJ0112-3201;BL Lac;18,13650;-32,02836;0,480
3FGL J0113.0-3554;;18,16110;-35,85790;
TXS 0110-037;;18,16304;-3,47828;
5BZQJ0112+3208;FSRQ;18,20971;32,13816;0,603
3HSPJ011314.3-190808;BL Lac;18,30967;-19,13550;
5BZQJ0113-3551;FSRQ;18,31604;-35,86331;1,220
5BZQJ0113+4948;FSRQ;18,36250;49,80666;0,389
5BZGJ0113+0222;;18,42975;2,37147;0,047
5BZQJ0113+1324;FSRQ;18,47713;13,41458;0,685
NVWJ0114.4+1222;;18,53520;12,38220;
1RXS J011451.8+26233;;18,71435;26,38927;
5BZBJ0114+1325;BL Lac;18,71988;13,42708;
5BZBJ0115-3400;BL Lac;18,75717;-34,00756;0,482
5BZQJ0115-0127;FSRQ;18,82125;-1,45128;1,381
5BZQJ0115-2804;FSRQ;18,84950;-28,08200;2,579
3HSPJ011533.4-030334;BL Lac;18,88900;-3,05931;0,536
5BZBJ0115+0356;BL Lac;18,91879;3,94536;
5BZBJ0115+2519;BL Lac;18,94229;25,33150;0,375
5BZQJ0115-3049;FSRQ;18,94342;-30,82197;1,414
3HSPJ011555.5-274431;BL Lac;18,98108;-27,74205;0,700
5BZQJ0116-1136;FSRQ;19,05217;-11,60428;0,671
5BZBJ0116-6153;BL Lac;19,08175;-61,89542;
3HSPJ011637.1-281147;BL Lac;19,15442;-28,19636;0,320
NVWJ0117.1-3108;;19,33920;-31,14672;
3HSPJ011724.4-222759;BL Lac;19,35158;-22,46642;0,116
5BZQJ0117+1418;FSRQ;19,35500;14,30344;0,839
5BZQJ0117-3357;FSRQ;19,43583;-33,95139;0,647
5BZBJ0117-2443;BL Lac;19,44583;-24,72603;0,279
5BZQJ0117-2111;FSRQ;19,45325;-21,18520;1,490
3HSPJ011823.3+324325;BL Lac;19,59696;32,72367;0,112
3HSPJ011828.7-511527;BL Lac;19,61975;-51,25758;0,248
3HSPJ011831.4-142958;BL Lac;19,63087;-14,49933;0,420
4FGL J0118.7-0848;;19,68407;-8,84971;
5BZQJ0118-2141;FSRQ;19,73858;-21,69169;1,165
3HSPJ011904.6-145858;BL Lac;19,76921;-14,98289;0,290
PKS 0117-542;;19,96019;-53,95497;
2MASX J01200274+4200;;20,01149;42,00387;
CRATES J012018+40531;;20,08021;40,89142;
5BZBJ0120-2701;BL Lac;20,13192;-27,02353;
3HSPJ012048.3+212854;BL Lac;20,20129;21,48164;0,259
5BZQJ0121-2806;FSRQ;20,25308;-28,10614;3,119
5BZQJ0121+1127;FSRQ;20,37083;11,45014;2,487
3FGL J0121.7+5154;;20,39025;51,93258;
5BZQJ0121+1149;FSRQ;20,42317;11,83072;0,570
3HSPJ012152.7-391544;BL Lac;20,46954;-39,26228;0,300
5BZQJ0121+0422;FSRQ;20,48692;4,37353;0,637
5BZQJ0122+0310;FSRQ;20,50796;3,16736;4,000
3HSPJ012203.8-300509;BL Lac;20,51583;-30,08592;0,440
5BZBJ0122+1510;BL Lac;20,61408;15,17308;
5BZQJ0122+2502;FSRQ;20,66171;25,04217;2,025
5BZQJ0122-0935;FSRQ;20,70029;-9,59639;0,784
5BZBJ0123+3420;BL Lac;20,78596;34,34681;0,270
5BZBJ0123-2310;;20,90979;-23,18294;0,404
3HSPJ012340.4+421017;;20,91830;42,17160;
5BZGJ0123+4210;;20,91871;42,16856;0,186
5BZQJ0123+2615;FSRQ;20,92933;26,25622;0,849
5BZBJ0124+3249;;21,12733;32,82953;0,360
3HSPJ012443.7-314343;BL Lac;21,18217;-31,72856;0,400
5BZBJ0124+0918;BL Lac;21,18550;9,31369;0,338
5BZBJ0124-0625;BL Lac;21,21033;-6,41692;
5BZQJ0124+2805;FSRQ;21,23283;28,08650;0,710
5BZQJ0124-5113;FSRQ;21,23896;-51,22125;1,104
5BZQJ0125+0146;FSRQ;21,27292;1,77414;1,559
4FGL J0125.7-0015;;21,32146;-0,30803;1,077
5BZBJ0125-2549;BL Lac;21,32850;-25,81789;
3HSPJ012523.5-292047;BL Lac;21,34792;-29,34647;0,630
5BZQJ0125-0005;FSRQ;21,37017;-0,09886;1,077
4FGL J0125.4+3200;;21,42929;31,88733;
4FGL J0125.8+2605;;21,47019;26,11021;
5BZQJ0126-2222;FSRQ;21,56250;-22,37600;0,717
3HSPJ012629.6-350506;BL Lac;21,62317;-35,08486;0,480
5BZQJ0126+2559;FSRQ;21,67829;25,98367;2,358
3HSPJ012652.2+003308;BL Lac;21,71737;0,55233;0,670
5BZBJ0126+3307;BL Lac;21,73846;33,12508;0,450
4FGL J0126.5-1553;;21,78538;-15,93172;
5BZBJ0127-8108;BL Lac;21,79254;-81,13908;
5BZBJ0127-0151;;21,79613;-1,86494;
