Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;1RXS J011451.8+26233;;18,71435;26,38927;;6,43E+20;14,6;-12,2;14,6;0,4;;No possible source for confusion within 20 arcseconds;2,7;0,19;14,3;0,4;-12,28;-12,49;-12,06
Yes;5BZBJ0114+1325;BL Lac;18,71988;13,42708;;3,27E+20;14,9;-11,7;14,9;0,3;;No possible source for confusion within 20 arcseconds;6,7;0,49;15,5;0,4;-11,24;-11,61;-10,79
Yes;5BZBJ0115-3400;BL Lac;18,75717;-34,00756;0,482;2,34E+20;17,9;-11,6;17,6;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,5;1,09;17,5;0,0;-11,80;0,00;0,00
Yes;5BZQJ0115-0127;FSRQ;18,82125;-1,45128;1,381;5,46E+20;12,5;-11,9;12,6;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
Yes;5BZQJ0115-2804;FSRQ;18,84950;-28,08200;2,579;1,71E+20;12,4;-12,6;12,4;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
No;3HSPJ011533.4-030334;BL Lac;18,88900;-3,05931;0,536;3,65E+20;;;15,8;0,5;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,3;;;;;;
No;5BZBJ0115+0356;BL Lac;18,91879;3,94536;;2,89E+20;;;15,1;0,3;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;2,8;-0,18;13,0;0,4;-11,59;-11,82;-11,37
Yes;5BZBJ0115+2519;BL Lac;18,94229;25,33150;0,375;7,10E+20;16,3;-11,6;16,3;0,5;;Possible confusing source at distance of 8 arcseconds, vmag=18.4;2,4;0,73;16,4;0,4;-11,34;-11,49;-11,12
Yes;5BZQJ0115-3049;FSRQ;18,94342;-30,82197;1,414;1,88E+20;12,4;-12,3;12,4;0,4;;No possible source for confusion within 20 arcseconds;2,2;-0,78;12,3;0,4;-12,27;-12,37;-12,02
Yes;3HSPJ011555.5-274431;BL Lac;18,98108;-27,74205;0,700;1,69E+20;17,3;-11,9;17,0;0,5;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,6;0,77;16,6;0,4;-11,96;-12,02;-11,82
