Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZBJ0004-1148;BL Lac;1,02033;-11,81611;;2,30E+20;13,0;-11,9;12,8;0,5;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,6;-0,21;13,0;0,4;-11,92;-12,16;-11,76
Yes;5BZQJ0004+4615;FSRQ;1,06737;46,25505;1,810;7,66E+20;12,6;-12,3;12,6;0,3;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;3,1;-0,64;12,5;0,4;-12,18;-12,38;-11,89
Yes;5BZQJ0004-4736;FSRQ;1,14850;-47,60542;0,884;1,27E+20;12,6;-11,7;12,8;0,4;;No possible source for confusion within 20 arcseconds;10,5;-0,54;12,6;0,4;-12,03;-12,44;-11,42
Yes;5BZQJ0004+2019;FSRQ;1,14896;20,32850;0,677;3,56E+20;12,6;-12,2;12,4;0,5;;No possible source for confusion within 20 arcseconds;5,9;-0,39;12,8;0,4;-12,21;-12,59;-11,82
Yes;3HSPJ000513.7-261438;BL Lac;1,30717;-26,24394;0,320;1,37E+20;16,0;-12,6;15,7;0,4;;No possible source for confusion within 20 arcseconds;1,5;0,17;14,3;0,4;-12,59;-12,69;-12,51
Yes;5BZQJ0005-1648;FSRQ;1,32471;-16,80131;0,780;2,10E+20;13,5;-12,2;14,1;1,0;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;-0,41;12,7;0,4;-11,87;-11,95;-11,79
No;5BZQJ0005+0524;FSRQ;1,33421;5,40303;1,900;3,39E+20;;;14,5;0,8;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;3HSPJ000553.0-284504;BL Lac;1,47079;-28,75108;0,570;1,46E+20;;;15,8;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZQJ0005+3820;FSRQ;1,48825;38,33755;0,229;6,63E+20;12,9;-11,3;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 9 arcseconds;1,7;-0,25;12,9;0,4;-11,30;-11,38;-11,15
No;4FGL J0006.4-5621;;1,49021;-56,47542;0,291;1,10E+20;;;13,4;0,7;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 2 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZBJ0006-0623;BL Lac;1,55788;-6,39311;0,347;3,41E+20;12,7;-11,1;13,0;0,7;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;9,6;-0,46;12,7;0,4;-11,14;-11,63;-10,65
No;5BZQJ0006-4245;FSRQ;1,58221;-42,75517;1,770;1,86E+20;;;13,5;1,4;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,3;;;;;;
No;5BZGJ0006+1051;;1,58454;10,86436;0,168;4,98E+20;;;16,0;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
Yes;3HSPJ000626.9+013611;BL Lac;1,61208;1,60294;0,787;2,89E+20;16,1;-12,3;15,8;0,5;;No possible source for confusion within 20 arcseconds;2,4;0,67;16,2;0,4;-12,18;-12,31;-11,93
No;NVWJ0006.0+8301;;1,70070;83,01972;;9,44E+20;;;14,9;0,6;;No possible source for confusion within 20 arcseconds;1,5;0,38;15,1;0,4;-12,09;-12,19;-12,00
No;5BZQJ0006+2422;FSRQ;1,70329;24,37681;1,684;4,19E+20;;;12,4;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ000701.6+510500;BL Lac;1,75663;51,08339;0,470;1,38E+21;;;16,0;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
No;NVWJ0007.8+1745;;1,82861;17,75962;;3,05E+20;;;15,6;0,6;;No possible source for confusion within 20 arcseconds;1,6;0,29;14,7;0,4;-12,29;-12,42;-12,21
No;5BZQJ0007-6113;FSRQ;1,83575;-61,21842;0,857;1,41E+20;;;14,7;1,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 9 arcseconds, vmag=100.0;;;;;;;
Yes;NVSS J000741+400830;;1,92361;40,14165;;6,72E+20;14,3;-12,2;13,3;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;5BZBJ0007+4712;BL Lac;1,99988;47,20214;0,280;8,03E+20;;;15,5;0,8;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;2,2;0,23;14,5;0,4;-11,81;-12,01;-11,67
No;5BZQJ0008-2339;FSRQ;2,00154;-23,65497;1,412;2,36E+20;;;13,0;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
Yes;PMN J0008-3945;;2,03834;-39,75638;;1,10E+20;12,6;-12,6;12,6;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;NVSS J000825+145635;;2,10583;14,94328;;4,03E+20;13,2;-12,5;14,9;1,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;3,7;-0,74;12,3;0,4;-12,21;-12,53;-11,96
Yes;5BZBJ0008-2339;BL Lac;2,14742;-23,65772;0,147;2,30E+20;16,4;-11,7;16,4;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,3;;;;;;
No;5BZQJ0008-4619;FSRQ;2,15642;-46,32800;1,850;1,35E+20;;;14,4;0,8;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,1;;;;;;
Yes;5BZBJ0009+0628;BL Lac;2,26633;6,47261;;4,97E+20;13,7;-11,8;13,5;0,6;;No possible source for confusion within 20 arcseconds;1,8;0,08;13,9;0,4;-11,74;-11,90;-11,64
No;5BZQJ0009+0625;FSRQ;2,32104;6,43186;2,694;4,90E+20;;;12,5;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
No;NVWJ0009.2-1414;;2,33641;-14,23623;;2,46E+20;;;15,6;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;2,3;0,43;15,3;0,4;-12,17;-12,37;-12,01
No;5BZBJ0009+5030;BL Lac;2,34487;50,50795;0,250;1,07E+21;;;15,1;0,3;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,6;0,69;16,3;0,4;-11,53;-11,65;-11,44
Yes;3FGL J0009.6-3211;;2,39816;-32,27692;;2,47E+20;14,2;-11,6;14,5;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;4FGL J0009.8-6358;;2,40629;-63,95940;;1,61E+20;13,4;-12,8;13,4;0,9;Flux too close to background. ;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,4;;;;;;
No;3HSPJ000949.8-431650;BL Lac;2,45729;-43,28058;0,230;1,01E+20;;;15,3;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,8;0,89;17,0;0,4;-11,35;-11,48;-11,23
No;NVWJ0009.0+3558;;2,47190;35,97322;;4,81E+20;;;15,4;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,9;0,76;16,6;0,4;-11,72;-11,88;-11,59
Yes;3HSPJ000957.2+134059;BL Lac;2,48842;13,68303;0,430;4,36E+20;16,4;-12,3;16,9;0,5;;No possible source for confusion within 20 arcseconds;1,7;1,19;17,5;0,0;-11,72;0,00;0,00
Yes;3HSPJ001011.7+334852;BL Lac;2,54875;33,81433;;4,65E+20;15,3;-11,9;15,5;0,4;;No possible source for confusion within 20 arcseconds;1,4;0,32;14,8;0,4;-11,89;-11,96;-11,80
Yes;5BZQJ0010+2047;FSRQ;2,61979;20,79725;0,600;3,89E+20;13,7;-12,3;14,2;0,8;;No possible source for confusion within 20 arcseconds;48,6;0,03;13,7;0,4;-12,03;-12,69;-11,00
Yes;5BZQJ0010+1058;FSRQ;2,62917;10,97489;0,089;5,91E+20;13,6;-10,8;13,5;0,8;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,5;0,08;13,9;0,4;-10,79;-10,87;-10,70
Yes;5BZQJ0010+1724;FSRQ;2,64162;17,40528;1,601;3,25E+20;12,6;-11,7;12,4;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;2,4;-0,38;12,8;0,4;-11,67;-11,75;-11,38
Yes;5BZQJ0010-3027;FSRQ;2,64883;-30,46317;1,190;1,17E+20;12,7;-11,9;12,6;0,4;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;11,7;-0,36;12,8;0,4;-11,91;-12,41;-11,34
No;3HSPJ001042.7-130817;BL Lac;2,67779;-13,13806;0,530;1,90E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 2 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ0010-2945;FSRQ;2,68825;-29,75367;2,344;1,06E+20;12,3;-12,4;12,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
Yes;PKS 0008-222;;2,72354;-21,95117;;1,52E+20;12,6;-12,2;12,7;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,5;-0,56;12,5;0,4;-12,23;-12,46;-12,06
Yes;5BZQJ0011-2612;FSRQ;2,75508;-26,20889;1,096;1,69E+20;12,7;-12,4;12,5;0,6;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;1,6;-0,33;12,8;0,4;-12,43;-12,52;-12,32
No;5BZQJ0011-3620;FSRQ;2,81133;-36,34428;2,324;1,24E+20;;;13,7;1,2;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 2 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ0011+0057;FSRQ;2,87667;0,96444;1,492;2,58E+20;12,7;-11,8;12,7;0,3;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;23,5;-0,49;12,6;0,4;-11,90;-12,72;-11,35
Yes;3FGL J0012.4+7040;;2,88293;70,75878;;3,19E+21;12,8;-11,7;13,1;0,4;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;7,3;-0,58;12,5;0,4;-11,56;-12,04;-11,18
No;SUMSS J001141-314220;;2,92392;-31,70578;;1,27E+20;;;12,8;0,7;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
Yes;4FGL J0011.4-4110;;2,96835;-41,09588;0,091;1,51E+20;13,1;-12,4;13,9;1,1;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,6;-0,47;12,7;0,4;-12,42;-12,48;-12,29
Yes;5BZGJ0012-1628;;3,14108;-16,46869;0,151;2,29E+20;16,1;-12,1;16,1;0,7;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,2;;;;;;
Yes;5BZQJ0012+3353;FSRQ;3,19733;33,89405;1,682;4,76E+20;12,9;-12,3;13,2;0,5;;No possible source for confusion within 20 arcseconds;12,6;-0,32;12,8;0,4;-11,87;-12,54;-11,44
No;3HSPJ001253.9-162656;BL Lac;3,22442;-16,44894;0,350;2,24E+20;;;16,1;0,4;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;;;;;;
Yes;5BZBJ0012-3954;BL Lac;3,24950;-39,90717;;1,09E+20;12,7;-11,7;12,5;0,4;;No possible source for confusion within 20 arcseconds;3,6;-0,23;13,0;0,4;-11,79;-12,03;-11,48
Yes;5BZQJ0013-1513;FSRQ;3,33625;-15,22978;1,838;1,69E+20;12,6;-13,0;13,4;1,1;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;3HSPJ001328.8+094931;BL Lac;3,37000;9,82514;0,290;7,05E+20;17,3;-12,0;17,1;0,6;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;0,87;17,0;0,4;-11,60;-11,68;-11,54
Yes;4C +40.01;;3,37971;40,86032;;5,94E+20;13,0;-11,6;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,6;-0,27;12,9;0,4;-11,71;-11,84;-11,63
Yes;5BZQJ0013-0423;FSRQ;3,47546;-4,39781;1,075;2,95E+20;12,5;-12,2;12,6;0,4;;No possible source for confusion within 20 arcseconds;8,9;-0,51;12,6;0,4;-12,16;-12,70;-11,76
Yes;5BZGJ0013-1854;;3,48350;-18,90181;0,094;1,97E+20;17,2;-11,5;17,0;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZBJ0013+1910;BL Lac;3,48483;19,17833;0,477;3,63E+20;13,8;-11,8;14,0;0,4;;No possible source for confusion within 20 arcseconds;2,7;0,01;13,6;0,4;-11,76;-12,02;-11,59
Yes;5BZBJ0014-5022;BL Lac;3,54763;-50,37636;0,010;1,45E+20;17,3;-11,8;16,8;0,4;;No possible source for confusion within 20 arcseconds;1,9;0,99;17,4;0,4;-11,71;-11,87;-11,59
No;5BZGJ0014+0854;;3,58233;8,90039;0,162;7,41E+20;;;15,4;0,9;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,2;;;;;;
Yes;GALEXASC J001420.46-;;3,58514;-4,99134;;2,88E+20;12,9;-12,5;13,5;0,6;;No possible source for confusion within 20 arcseconds;1,3;-0,49;12,6;0,4;-12,50;-12,56;-12,44
No;5BZQJ0014-3059;FSRQ;3,65812;-30,98867;2,785;1,35E+20;;;12,9;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ001442.1+162126;BL Lac;3,67533;16,35728;0,560;4,11E+20;;;16,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;;;;;;;
No;5BZBJ0014+5802;BL Lac;3,67554;58,03367;0,350;3,93E+21;;;16,6;0,5;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,8;0,45;15,3;0,4;-12,22;-12,35;-12,09
Yes;3FGL J0014.6+6119;;3,70330;61,29543;;6,43E+21;13,0;-11,8;13,1;0,6;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,4;-0,25;12,9;0,4;-11,82;-11,89;-11,73
Yes;5BZQJ0015-1812;FSRQ;3,76033;-18,21408;0,743;2,35E+20;12,4;-12,4;12,6;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,5;-0,82;12,2;0,4;-11,99;-12,13;-11,95
Yes;3C 6;;3,77561;32,27036;;4,44E+20;12,9;-12,4;12,9;0,3;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 2 arcseconds, vmag=100.0;1,4;1,59;17,5;0,0;-11,15;0,00;0,00
No;5BZBJ0015+3536;BL Lac;3,86654;35,61100;0,430;4,45E+20;;;16,2;0,4;;No possible source for confusion within 20 arcseconds;1,4;0,37;15,0;0,4;-12,27;-12,35;-12,19
Yes;5BZQJ0015+1700;FSRQ;3,91658;17,01139;1,709;3,89E+20;12,9;-12,3;12,9;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 19 arcseconds;;;;;;;
Yes;3HSPJ001540.1+555145;BL Lac;3,91721;55,86242;0,150;2,97E+21;16,3;-11,4;16,3;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 9 arcseconds, vmag=18.1;1,5;1,08;17,5;0,0;-10,99;0,00;0,00
No;3HSPJ001541.9+121846;BL Lac;3,92442;12,31264;0,350;5,73E+20;;;16,0;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,3;1,12;17,5;0,0;-11,88;0,00;0,00
Yes;GB6 J0016+2440;;4,01507;24,67075;;3,14E+20;14,5;-11,9;14,6;0,6;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;3,4;0,19;14,3;0,4;-11,88;-12,22;-11,69
Yes;5BZQJ0016-0015;FSRQ;4,04621;-0,25344;1,577;2,53E+20;12,4;-12,2;12,4;0,3;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ0017+8135;FSRQ;4,28525;81,58561;3,387;1,28E+21;12,8;-12,1;13,0;1,1;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
Yes;3FGL J0017.2-0643;;4,28913;-6,84304;;3,46E+20;13,3;-11,9;12,9;0,5;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;3,2;0,04;13,7;0,4;-11,95;-12,22;-11,71
Yes;5BZQJ0017-0512;FSRQ;4,39921;-5,21156;0,227;2,67E+20;13,3;-11,6;13,3;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;11,0;-0,36;12,8;0,4;-11,38;-11,73;-10,69
Yes;5BZBJ0017+1451;BL Lac;4,40375;14,85053;0,303;3,55E+20;14,4;-11,8;14,4;0,4;;No possible source for confusion within 20 arcseconds;1,7;0,40;15,2;0,4;-11,67;-11,77;-11,53
Yes;5BZQJ0017-2748;FSRQ;4,49583;-27,80586;1,169;2,37E+20;12,9;-11,2;12,9;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;;;;;;;
Yes;5BZBJ0018+2947;BL Lac;4,61579;29,79189;0,100;4,06E+20;17,1;-11,5;17,4;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,7;0,70;16,3;0,4;-11,81;-11,93;-11,71
No;3HSPJ001916.2+053149;BL Lac;4,81754;5,53025;0,467;2,61E+20;;;16,2;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;;;;;;;
Yes;5BZBJ0019-8152;BL Lac;4,83575;-81,88091;;6,77E+20;14,7;-11,3;14,7;0,3;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;3,8;0,22;14,4;0,4;-11,39;-11,81;-11,24
Yes;3FGL J0019.1-5645;;4,86088;-56,69513;;1,14E+20;12,8;-12,3;13,2;0,8;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;9,4;-0,54;12,6;0,4;-12,25;-12,69;-11,72
Yes;5BZBJ0019+2021;BL Lac;4,90767;20,36272;;3,48E+20;12,6;-11,8;12,4;0,4;;No possible source for confusion within 20 arcseconds;4,4;-0,41;12,7;0,4;-11,82;-12,22;-11,58
Yes;5BZQJ0019+2602;FSRQ;4,91575;26,04789;0,284;3,12E+20;13,6;-11,1;13,3;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;0,05;13,8;0,4;-11,09;-11,16;-11,03
Yes;5BZQJ0019-3031;FSRQ;4,92783;-30,52200;2,677;2,38E+20;12,3;-12,5;12,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
Yes;5BZQJ0019+7327;FSRQ;4,94071;73,45841;1,781;1,86E+21;12,6;-11,8;12,5;0,3;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;6,6;-0,36;12,8;0,4;-11,80;-12,15;-11,33
Yes;2MASS J00205023+0323;;5,20936;3,39947;;3,14E+20;14,9;-12,4;14,9;0,5;;No possible source for confusion within 20 arcseconds;3,3;0,42;15,2;0,4;-12,30;-12,55;-12,03
Yes;5BZBJ0021-2550;BL Lac;5,38558;-25,84700;;1,90E+20;14,3;-11,7;14,3;0,4;;No possible source for confusion within 20 arcseconds;2,4;0,18;14,3;0,4;-11,64;-11,86;-11,47
Yes;5BZBJ0021-0900;BL Lac;5,42604;-9,01231;0,648;3,23E+20;14,3;-12,4;14,3;0,5;;No possible source for confusion within 20 arcseconds;1,8;1,21;17,5;0,0;-11,61;0,00;0,00
Yes;5BZBJ0022-5140;BL Lac;5,50033;-51,67339;0,250;1,53E+20;15,4;-11,5;15,4;0,2;;No possible source for confusion within 20 arcseconds;2,7;0,49;15,5;0,4;-11,44;-11,69;-11,26
Yes;5BZGJ0022+0006;;5,50396;0,11611;0,306;2,80E+20;17,0;-11,9;17,2;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,7;1,15;17,5;0,0;-11,78;0,00;0,00
Yes;5BZQJ0022+4525;FSRQ;5,52758;45,42614;1,897;6,54E+20;12,4;-12,6;12,4;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,5;-0,59;12,5;0,4;-12,65;-12,78;-12,39
Yes;5BZBJ0022-1853;BL Lac;5,53863;-18,89300;;2,16E+20;14,8;-11,5;14,8;0,3;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;4,4;0,36;15,0;0,4;-11,48;-11,84;-11,20
No;3HSPJ002209.6-670510;BL Lac;5,53983;-67,08622;0,300;2,09E+20;;;16,2;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,2;;;;;;
Yes;5BZBJ0022+0608;BL Lac;5,63517;6,13456;;3,00E+20;12,9;-11,7;12,8;0,4;;No possible source for confusion within 20 arcseconds;9,2;-0,25;12,9;0,4;-11,74;-12,40;-11,44
No;3HSPJ002255.0-341348;BL Lac;5,72900;-34,22997;;1,63E+20;;;15,6;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ002259.0-244023;BL Lac;5,74596;-24,67303;;1,60E+20;;;15,7;0,4;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,3;;;;;;
Yes;NVWJ0023.2-3109;;5,75230;-31,15633;;1,62E+20;14,8;-12,4;15,1;0,8;;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,8;0,26;14,6;0,4;-12,37;-12,53;-12,26
Yes;5BZUJ0023+4456;;5,89767;44,94328;2,023;5,89E+20;12,7;-12,1;12,7;0,3;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;3,5;-0,54;12,6;0,4;-12,09;-12,38;-11,83
Yes;4FGL J0024.5-0810;;6,00280;-8,18612;;3,39E+20;12,9;-12,4;13,1;0,6;;No possible source for confusion within 20 arcseconds;3,6;-0,59;12,5;0,4;-12,48;-12,74;-12,18
Yes;5BZBJ0024+1602;BL Lac;6,00529;16,04278;;3,48E+20;12,9;-12,1;13,2;0,5;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;2,5;-0,36;12,8;0,4;-12,14;-12,36;-11,96
Yes;PKS 0021-686;;6,02801;-68,34850;0,354;2,11E+20;13,0;-11,4;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,4;-0,26;12,9;0,4;-11,41;-11,48;-11,32
Yes;B3 0021+464;;6,08974;46,73506;;6,98E+20;12,5;-12,2;12,7;0,4;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,9;-0,73;12,3;0,4;-12,30;-12,60;-12,13
Yes;5BZQJ0024+2439;FSRQ;6,11387;24,65739;1,444;2,96E+20;12,4;-12,5;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZQJ0024+0349;FSRQ;6,18837;3,81769;0,545;2,95E+20;13,5;-12,4;13,5;0,5;;No possible source for confusion within 20 arcseconds;4,2;0,38;15,1;0,4;-12,40;-12,59;-11,97
Yes;5BZQJ0024-0412;FSRQ;6,19150;-4,20047;1,946;2,77E+20;12,5;-12,9;12,5;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
Yes;5BZQJ0025-2227;FSRQ;6,35104;-22,46322;0,834;1,61E+20;13,1;-12,2;13,4;0,8;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;2,1;-0,31;12,9;0,4;-12,21;-12,34;-12,02
Yes;MRSS 194-093029;;6,44093;-48,06531;;1,63E+20;13,0;-12,3;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;5,3;-0,28;12,9;0,4;-12,35;-12,62;-11,90
Yes;3HSPJ002611.6-073116;BL Lac;6,54842;-7,52097;0,500;3,43E+20;16,8;-11,8;16,8;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 19 arcseconds;1,7;0,61;15,9;0,4;-12,29;-12,40;-12,16
Yes;5BZBJ0026-4601;;6,64842;-46,01936;0,250;1,54E+20;16,1;-11,8;16,1;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;1,6;1,00;17,5;0,4;-11,47;-11,58;-11,38
Yes;5BZQJ0026-1112;FSRQ;6,71429;-11,21458;1,118;2,57E+20;14,2;-12,5;14,2;1,0;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,2;;;;;;
No;5BZQJ0027+2241;FSRQ;6,81404;22,69953;1,119;2,88E+20;;;13,6;0,8;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 6 arcseconds, vmag=100.0;1,2;;;;;;
No;5BZGJ0027+2607;;6,86250;26,11853;0,360;3,41E+20;;;16,5;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,2;;;;;;
Yes;3FGL J0028.6+7507;;7,05443;75,10358;;2,13E+21;13,0;-12,0;13,3;0,5;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,7;-0,40;12,7;0,4;-12,02;-12,14;-11,92
